INSERT INTO schedule(departTime, arriveTime, airline, price, departCtID, arriveCtID) VALUES
('2020-10-18 10:00:00', '2020-10-18 15:00:00', 7, 729000, 40, 10),
('2020-10-18 17:00:00', '2020-10-18 22:00:00', 9, 608700, 10, 40),
('2020-10-18 17:00:00', '2020-10-18 22:00:00', 9, 588600, 40, 10),
('2020-10-18 2:00:00', '2020-10-18 7:00:00', 7, 646700, 10, 40),
('2020-10-18 2:00:00', '2020-10-18 7:00:00', 7, 566200, 40, 10),
('2020-10-18 8:00:00', '2020-10-18 13:00:00', 9, 434200, 10, 50),
('2020-10-18 8:00:00', '2020-10-18 13:00:00', 9, 752000, 50, 10),
('2020-10-18 15:00:00', '2020-10-18 20:00:00', 7, 706800, 10, 50),
('2020-10-18 15:00:00', '2020-10-18 20:00:00', 7, 331800, 50, 10),
('2020-10-18 7:00:00', '2020-10-18 12:00:00', 9, 721700, 10, 50),
('2020-10-18 7:00:00', '2020-10-18 12:00:00', 9, 564300, 50, 10),
('2020-10-18 3:00:00', '2020-10-18 8:00:00', 9, 408400, 10, 50),
('2020-10-18 3:00:00', '2020-10-18 8:00:00', 9, 444500, 50, 10),
('2020-10-19 13:00:00', '2020-10-19 18:00:00', 9, 731400, 10, 20),
('2020-10-19 13:00:00', '2020-10-19 18:00:00', 9, 379600, 20, 10),
('2020-10-19 6:00:00', '2020-10-19 11:00:00', 9, 604600, 10, 20),
('2020-10-19 6:00:00', '2020-10-19 11:00:00', 9, 499700, 20, 10),
('2020-10-19 15:00:00', '2020-10-19 20:00:00', 8, 602200, 10, 20),
('2020-10-19 15:00:00', '2020-10-19 20:00:00', 8, 453900, 20, 10),
('2020-10-19 8:00:00', '2020-10-19 13:00:00', 7, 341700, 10, 20),
('2020-10-19 8:00:00', '2020-10-19 13:00:00', 7, 692300, 20, 10),
('2020-10-19 5:00:00', '2020-10-19 10:00:00', 8, 583600, 10, 30),
('2020-10-19 5:00:00', '2020-10-19 10:00:00', 8, 449000, 30, 10),
('2020-10-19 7:00:00', '2020-10-19 12:00:00', 7, 602800, 10, 30),
('2020-10-19 7:00:00', '2020-10-19 12:00:00', 7, 596500, 30, 10),
('2020-10-19 16:00:00', '2020-10-19 21:00:00', 9, 514100, 10, 30),
('2020-10-19 16:00:00', '2020-10-19 21:00:00', 9, 374100, 30, 10),
('2020-10-19 14:00:00', '2020-10-19 19:00:00', 7, 472100, 10, 30),
('2020-10-19 14:00:00', '2020-10-19 19:00:00', 7, 484500, 30, 10),
('2020-10-19 10:00:00', '2020-10-19 15:00:00', 7, 380500, 10, 40),
('2020-10-19 10:00:00', '2020-10-19 15:00:00', 7, 772900, 40, 10),
('2020-10-19 14:00:00', '2020-10-19 19:00:00', 7, 423700, 10, 40),
('2020-10-19 14:00:00', '2020-10-19 19:00:00', 7, 466900, 40, 10),
('2020-10-19 16:00:00', '2020-10-19 21:00:00', 8, 492000, 10, 40),
('2020-10-19 16:00:00', '2020-10-19 21:00:00', 8, 615900, 40, 10),
('2020-10-19 4:00:00', '2020-10-19 9:00:00', 9, 560600, 10, 40),
('2020-10-19 4:00:00', '2020-10-19 9:00:00', 9, 742600, 40, 10),
('2020-10-19 9:00:00', '2020-10-19 14:00:00', 8, 534100, 10, 50),
('2020-10-19 9:00:00', '2020-10-19 14:00:00', 8, 390300, 50, 10),
('2020-10-19 1:00:00', '2020-10-19 6:00:00', 8, 375500, 10, 50),
('2020-10-19 1:00:00', '2020-10-19 6:00:00', 8, 594600, 50, 10),
('2020-10-19 3:00:00', '2020-10-19 8:00:00', 9, 547000, 10, 50),
('2020-10-19 3:00:00', '2020-10-19 8:00:00', 9, 754300, 50, 10),
('2020-10-19 14:00:00', '2020-10-19 19:00:00', 8, 416700, 10, 50),
('2020-10-19 14:00:00', '2020-10-19 19:00:00', 8, 344800, 50, 10),
('2020-10-20 15:00:00', '2020-10-20 20:00:00', 9, 649400, 10, 20),
('2020-10-20 15:00:00', '2020-10-20 20:00:00', 9, 795600, 20, 10),
('2020-10-20 3:00:00', '2020-10-20 8:00:00', 9, 624600, 10, 20),
('2020-10-20 3:00:00', '2020-10-20 8:00:00', 9, 566900, 20, 10),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 8, 597700, 10, 20),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 8, 626900, 20, 10),
('2020-10-20 16:00:00', '2020-10-20 21:00:00', 7, 678200, 10, 20),
('2020-10-20 16:00:00', '2020-10-20 21:00:00', 7, 792600, 20, 10),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 7, 387000, 10, 30),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 7, 310100, 30, 10),
('2020-10-20 6:00:00', '2020-10-20 11:00:00', 8, 547100, 10, 30),
('2020-10-20 6:00:00', '2020-10-20 11:00:00', 8, 574600, 30, 10),
('2020-10-20 6:00:00', '2020-10-20 11:00:00', 9, 626400, 10, 30),
('2020-10-20 6:00:00', '2020-10-20 11:00:00', 9, 338300, 30, 10),
('2020-10-20 17:00:00', '2020-10-20 22:00:00', 9, 547500, 10, 30),
('2020-10-20 17:00:00', '2020-10-20 22:00:00', 9, 672200, 30, 10),
('2020-10-20 17:00:00', '2020-10-20 22:00:00', 7, 542400, 10, 40),
('2020-10-20 17:00:00', '2020-10-20 22:00:00', 7, 592900, 40, 10),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 8, 695800, 10, 40),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 8, 655300, 40, 10),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 9, 791600, 10, 40),
('2020-10-20 4:00:00', '2020-10-20 9:00:00', 9, 486700, 40, 10),
('2020-10-20 15:00:00', '2020-10-20 20:00:00', 9, 717400, 10, 40),
('2020-10-20 15:00:00', '2020-10-20 20:00:00', 9, 747600, 40, 10),
('2020-10-20 5:00:00', '2020-10-20 10:00:00', 7, 761100, 10, 50),
('2020-10-20 5:00:00', '2020-10-20 10:00:00', 7, 483100, 50, 10),
('2020-10-20 12:00:00', '2020-10-20 17:00:00', 9, 741900, 10, 50),
('2020-10-20 12:00:00', '2020-10-20 17:00:00', 9, 470500, 50, 10),
('2020-10-20 12:00:00', '2020-10-20 17:00:00', 8, 396600, 10, 50),
('2020-10-20 12:00:00', '2020-10-20 17:00:00', 8, 737600, 50, 10),
('2020-10-20 15:00:00', '2020-10-20 20:00:00', 7, 647200, 10, 50),
('2020-10-20 15:00:00', '2020-10-20 20:00:00', 7, 302500, 50, 10),
('2020-10-21 10:00:00', '2020-10-21 15:00:00', 8, 434400, 10, 20),
('2020-10-21 10:00:00', '2020-10-21 15:00:00', 8, 364500, 20, 10),
('2020-10-21 14:00:00', '2020-10-21 19:00:00', 8, 759200, 10, 20),
('2020-10-21 14:00:00', '2020-10-21 19:00:00', 8, 449500, 20, 10),
('2020-10-21 1:00:00', '2020-10-21 6:00:00', 9, 478300, 10, 20),
('2020-10-21 1:00:00', '2020-10-21 6:00:00', 9, 418000, 20, 10),
('2020-10-21 10:00:00', '2020-10-21 15:00:00', 9, 304100, 10, 20),
('2020-10-21 10:00:00', '2020-10-21 15:00:00', 9, 723200, 20, 10),
('2020-10-21 2:00:00', '2020-10-21 7:00:00', 9, 799200, 10, 30),
('2020-10-21 2:00:00', '2020-10-21 7:00:00', 9, 523300, 30, 10),
('2020-10-21 6:00:00', '2020-10-21 11:00:00', 9, 337200, 10, 30),
('2020-10-21 6:00:00', '2020-10-21 11:00:00', 9, 426600, 30, 10),
('2020-10-21 9:00:00', '2020-10-21 14:00:00', 7, 355000, 10, 30),
('2020-10-21 9:00:00', '2020-10-21 14:00:00', 7, 656600, 30, 10),
('2020-10-21 9:00:00', '2020-10-21 14:00:00', 8, 796200, 10, 30),
('2020-10-21 9:00:00', '2020-10-21 14:00:00', 8, 539900, 30, 10),
('2020-10-21 14:00:00', '2020-10-21 19:00:00', 8, 397800, 10, 40),
('2020-10-21 14:00:00', '2020-10-21 19:00:00', 8, 764200, 40, 10),
('2020-10-21 12:00:00', '2020-10-21 17:00:00', 9, 493600, 10, 40),
('2020-10-21 12:00:00', '2020-10-21 17:00:00', 9, 580100, 40, 10),
('2020-10-21 7:00:00', '2020-10-21 12:00:00', 9, 594800, 10, 40),
('2020-10-21 7:00:00', '2020-10-21 12:00:00', 9, 412500, 40, 10),
('2020-10-21 5:00:00', '2020-10-21 10:00:00', 8, 410700, 10, 40),
('2020-10-21 5:00:00', '2020-10-21 10:00:00', 8, 398900, 40, 10),
('2020-10-21 8:00:00', '2020-10-21 13:00:00', 7, 700800, 10, 50),
('2020-10-21 8:00:00', '2020-10-21 13:00:00', 7, 355900, 50, 10),
('2020-10-21 7:00:00', '2020-10-21 12:00:00', 8, 446800, 10, 50),
('2020-10-21 7:00:00', '2020-10-21 12:00:00', 8, 429000, 50, 10),
('2020-10-21 15:00:00', '2020-10-21 20:00:00', 8, 343400, 10, 50),
('2020-10-21 15:00:00', '2020-10-21 20:00:00', 8, 679000, 50, 10),
('2020-10-21 7:00:00', '2020-10-21 12:00:00', 7, 678900, 10, 50),
('2020-10-21 7:00:00', '2020-10-21 12:00:00', 7, 420100, 50, 10),
('2020-10-22 3:00:00', '2020-10-22 8:00:00', 7, 662600, 10, 20),
('2020-10-22 3:00:00', '2020-10-22 8:00:00', 7, 754200, 20, 10),
('2020-10-22 10:00:00', '2020-10-22 15:00:00', 9, 549000, 10, 20),
('2020-10-22 10:00:00', '2020-10-22 15:00:00', 9, 637200, 20, 10),
('2020-10-22 9:00:00', '2020-10-22 14:00:00', 8, 492000, 10, 20),
('2020-10-22 9:00:00', '2020-10-22 14:00:00', 8, 756000, 20, 10),
('2020-10-22 10:00:00', '2020-10-22 15:00:00', 9, 664100, 10, 20),
('2020-10-22 10:00:00', '2020-10-22 15:00:00', 9, 458400, 20, 10),
('2020-10-22 16:00:00', '2020-10-22 21:00:00', 9, 627300, 10, 30),
('2020-10-22 16:00:00', '2020-10-22 21:00:00', 9, 762200, 30, 10),
('2020-10-22 10:00:00', '2020-10-22 15:00:00', 7, 664100, 10, 30),
('2020-10-22 10:00:00', '2020-10-22 15:00:00', 7, 398900, 30, 10),
('2020-10-22 8:00:00', '2020-10-22 13:00:00', 8, 593400, 10, 30),
('2020-10-22 8:00:00', '2020-10-22 13:00:00', 8, 449000, 30, 10),
('2020-10-22 1:00:00', '2020-10-22 6:00:00', 9, 763000, 10, 30),
('2020-10-22 1:00:00', '2020-10-22 6:00:00', 9, 772200, 30, 10),
('2020-10-22 11:00:00', '2020-10-22 16:00:00', 9, 700400, 10, 40),
('2020-10-22 11:00:00', '2020-10-22 16:00:00', 9, 757200, 40, 10),
('2020-10-22 17:00:00', '2020-10-22 22:00:00', 8, 609100, 10, 40),
('2020-10-22 17:00:00', '2020-10-22 22:00:00', 8, 378700, 40, 10),
('2020-10-22 15:00:00', '2020-10-22 20:00:00', 9, 525400, 10, 40),
('2020-10-22 15:00:00', '2020-10-22 20:00:00', 9, 311500, 40, 10),
('2020-10-22 11:00:00', '2020-10-22 16:00:00', 9, 724600, 10, 40),
('2020-10-22 11:00:00', '2020-10-22 16:00:00', 9, 555700, 40, 10),
('2020-10-22 5:00:00', '2020-10-22 10:00:00', 8, 415700, 10, 50),
('2020-10-22 5:00:00', '2020-10-22 10:00:00', 8, 368000, 50, 10),
('2020-10-22 14:00:00', '2020-10-22 19:00:00', 9, 583900, 10, 50),
('2020-10-22 14:00:00', '2020-10-22 19:00:00', 9, 474200, 50, 10),
('2020-10-22 16:00:00', '2020-10-22 21:00:00', 9, 626400, 10, 50),
('2020-10-22 16:00:00', '2020-10-22 21:00:00', 9, 418400, 50, 10),
('2020-10-22 13:00:00', '2020-10-22 18:00:00', 7, 640800, 10, 50),
('2020-10-22 13:00:00', '2020-10-22 18:00:00', 7, 682300, 50, 10),
('2020-10-23 12:00:00', '2020-10-23 17:00:00', 9, 372300, 10, 20),
('2020-10-23 12:00:00', '2020-10-23 17:00:00', 9, 791200, 20, 10),
('2020-10-23 6:00:00', '2020-10-23 11:00:00', 9, 607800, 10, 20),
('2020-10-23 6:00:00', '2020-10-23 11:00:00', 9, 379500, 20, 10),
('2020-10-23 17:00:00', '2020-10-23 22:00:00', 9, 432400, 10, 20),
('2020-10-23 17:00:00', '2020-10-23 22:00:00', 9, 564100, 20, 10),
('2020-10-23 15:00:00', '2020-10-23 20:00:00', 9, 406200, 10, 20),
('2020-10-23 15:00:00', '2020-10-23 20:00:00', 9, 408700, 20, 10),
('2020-10-23 2:00:00', '2020-10-23 7:00:00', 9, 612000, 10, 30),
('2020-10-23 2:00:00', '2020-10-23 7:00:00', 9, 746700, 30, 10),
('2020-10-23 8:00:00', '2020-10-23 13:00:00', 8, 488800, 10, 30),
('2020-10-23 8:00:00', '2020-10-23 13:00:00', 8, 753800, 30, 10),
('2020-10-23 5:00:00', '2020-10-23 10:00:00', 8, 476200, 10, 30),
('2020-10-23 5:00:00', '2020-10-23 10:00:00', 8, 459500, 30, 10),
('2020-10-23 14:00:00', '2020-10-23 19:00:00', 7, 432700, 10, 30),
('2020-10-23 14:00:00', '2020-10-23 19:00:00', 7, 715600, 30, 10),
('2020-10-23 13:00:00', '2020-10-23 18:00:00', 8, 594100, 10, 40),
('2020-10-23 13:00:00', '2020-10-23 18:00:00', 8, 686300, 40, 10),
('2020-10-23 9:00:00', '2020-10-23 14:00:00', 7, 471900, 10, 40),
('2020-10-23 9:00:00', '2020-10-23 14:00:00', 7, 626400, 40, 10),
('2020-10-23 9:00:00', '2020-10-23 14:00:00', 7, 635600, 10, 40),
('2020-10-23 9:00:00', '2020-10-23 14:00:00', 7, 788600, 40, 10),
('2020-10-23 10:00:00', '2020-10-23 15:00:00', 7, 773300, 10, 40),
('2020-10-23 10:00:00', '2020-10-23 15:00:00', 7, 460300, 40, 10),
('2020-10-23 5:00:00', '2020-10-23 10:00:00', 8, 448800, 10, 50),
('2020-10-23 5:00:00', '2020-10-23 10:00:00', 8, 518600, 50, 10),
('2020-10-23 11:00:00', '2020-10-23 16:00:00', 7, 464200, 10, 50),
('2020-10-23 11:00:00', '2020-10-23 16:00:00', 7, 512400, 50, 10),
('2020-10-23 17:00:00', '2020-10-23 22:00:00', 7, 444100, 10, 50),
('2020-10-23 17:00:00', '2020-10-23 22:00:00', 7, 543900, 50, 10),
('2020-10-23 3:00:00', '2020-10-23 8:00:00', 7, 717600, 10, 50),
('2020-10-23 3:00:00', '2020-10-23 8:00:00', 7, 526800, 50, 10),
('2020-10-24 10:00:00', '2020-10-24 15:00:00', 9, 564300, 10, 20),
('2020-10-24 10:00:00', '2020-10-24 15:00:00', 9, 377100, 20, 10),
('2020-10-24 15:00:00', '2020-10-24 20:00:00', 8, 653000, 10, 20),
('2020-10-24 15:00:00', '2020-10-24 20:00:00', 8, 364500, 20, 10),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 8, 305100, 10, 20),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 8, 426200, 20, 10),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 8, 532000, 10, 20),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 8, 584500, 20, 10),
('2020-10-24 4:00:00', '2020-10-24 9:00:00', 9, 653500, 10, 30),
('2020-10-24 4:00:00', '2020-10-24 9:00:00', 9, 700100, 30, 10),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 7, 663200, 10, 30),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 7, 406500, 30, 10),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 8, 770500, 10, 30),
('2020-10-24 8:00:00', '2020-10-24 13:00:00', 8, 316000, 30, 10),
('2020-10-24 16:00:00', '2020-10-24 21:00:00', 7, 471000, 10, 30),
('2020-10-24 16:00:00', '2020-10-24 21:00:00', 7, 459600, 30, 10),
('2020-10-24 7:00:00', '2020-10-24 12:00:00', 7, 658800, 10, 40),
('2020-10-24 7:00:00', '2020-10-24 12:00:00', 7, 725000, 40, 10),
('2020-10-24 4:00:00', '2020-10-24 9:00:00', 7, 496400, 10, 40),
('2020-10-24 4:00:00', '2020-10-24 9:00:00', 7, 525500, 40, 10),
('2020-10-24 7:00:00', '2020-10-24 12:00:00', 8, 698900, 10, 40),
('2020-10-24 7:00:00', '2020-10-24 12:00:00', 8, 406900, 40, 10),
('2020-10-24 12:00:00', '2020-10-24 17:00:00', 8, 709000, 10, 40),
('2020-10-24 12:00:00', '2020-10-24 17:00:00', 8, 671200, 40, 10),
('2020-10-24 9:00:00', '2020-10-24 14:00:00', 9, 365900, 10, 50),
('2020-10-24 9:00:00', '2020-10-24 14:00:00', 9, 455600, 50, 10),
('2020-10-24 5:00:00', '2020-10-24 10:00:00', 8, 419100, 10, 50),
('2020-10-24 5:00:00', '2020-10-24 10:00:00', 8, 487700, 50, 10),
('2020-10-24 6:00:00', '2020-10-24 11:00:00', 7, 703000, 10, 50),
('2020-10-24 6:00:00', '2020-10-24 11:00:00', 7, 433000, 50, 10),
('2020-10-24 2:00:00', '2020-10-24 7:00:00', 7, 760500, 10, 50),
('2020-10-24 2:00:00', '2020-10-24 7:00:00', 7, 546300, 50, 10),
('2020-10-25 2:00:00', '2020-10-25 7:00:00', 7, 333900, 10, 20),
('2020-10-25 2:00:00', '2020-10-25 7:00:00', 7, 509400, 20, 10),
('2020-10-25 14:00:00', '2020-10-25 19:00:00', 9, 723200, 10, 20),
('2020-10-25 14:00:00', '2020-10-25 19:00:00', 9, 501000, 20, 10),
('2020-10-25 8:00:00', '2020-10-25 13:00:00', 7, 531800, 10, 20),
('2020-10-25 8:00:00', '2020-10-25 13:00:00', 7, 722300, 20, 10),
('2020-10-25 13:00:00', '2020-10-25 18:00:00', 9, 314300, 10, 20),
('2020-10-25 13:00:00', '2020-10-25 18:00:00', 9, 756900, 20, 10),
('2020-10-25 10:00:00', '2020-10-25 15:00:00', 8, 492500, 10, 30),
('2020-10-25 10:00:00', '2020-10-25 15:00:00', 8, 598300, 30, 10),
('2020-10-25 4:00:00', '2020-10-25 9:00:00', 7, 372900, 10, 30),
